%%RSRT2	TDDT2
37.378	39.927
37.661	39.644
37.661	39.36
37.70866667	39.36
37.945	39.36
38.511	39.36
39.02983333	39.31266667
39.36	39.36
39.36	39.644
39.927	39.76105263
40.21	39.74857895
40.776	39.644
41.343	39.48473684
42.758	40.493
43.891	43.891
47.572	50.97
69.376	59.182
111.852	66.545
169.335	72.208
220.305	76.739
259.949	80.42
288.832	83.252
314.317	84.384
331.307	83.535
348.297	82.402
359.624	80.703
370.951	79.004
382.277	78.438
387.941	79.57
396.436	84.384
404.931	93.446
410.594	107.038
416.258	124.028
420.5056667	143.283
424.753	161.123
430.416	179.529
436.079	197.652
444.574	212.659
450.238	228.234
455.901	240.127
461.565	255.418
467.228	266.178
472.891	275.523
478.555	286
484.218	294.495
489.881	302.99
495.545	311.485
501.208	319.98
504.04	325.644
509.703	331.307
515.367	339.802
521.03	342.634
526.693	348.297
529.525	353.961
535.188	356.792
538.02	362.456
543.683	368.119
546.515	370.951
552.178	373.782
555.01	379.446
557.842	379.446
563.505	385.109
566.337	387.941
569.169	390.772
569.169	393.604
572	396.436
574.832	399.267
574.832	402.099
574.832	404.931
577.664	407.763
577.664	410.594
577.664	410.594
577.664	413.426
577.664	416.258
577.664	419.089
577.664	421.921
574.832	421.921
572	424.753
572	427.5845
569.169	430.416
566.337	433.248
563.505	434.9467143
557.842	436.079
552.6505	437.2117143
546.515	438.911
538.02	441.743
529.525	444.574
521.03	447.8778333
512.535	450.238
501.2083	450.238
488.4657	451.6785526
475.723	453.8145789
464.396	455.901
450.238	457.1927368
436.079	458.733
420.9768333	461.565
404.931	461.565
387.941	464.396
370.951	467.228
356.792	468.927
339.802	470.0595
322.812	471.192
308.654	472.891
291.663	475.723
275.24	478.555
260.3266667	478.555
246.64	481.1437429
233.897	484.218
221.8906	485.6745429
210.7622	487.05
200.6532	489.881
191.705	491.8226429
184.059	493.1982857
176.697	494.3312857
170.467	495.545
165.087	497.1627857
159.99	498.376
156.309	498.376
152.628	501.208
149.796	503.1102169
145.832	504.04
142.151	503.9546988
138.753	504.04
135.071	505.4815904
131.7671667	506.8890602
128.275	506.872
124.028	504.04
120.063	503.4734
116.4434776	503.1901
113.3305154	501.208
110.8851961	495.545
109.2686022	492.713
108.6418165	489.881
109.1659216	484.218
111.002	478.555
114.3111345	472.891
118.9867095	464.396
124.9221096	458.733
132.0107193	450.238
140.1459231	444.574
149.2211056	438.911
159.1296512	433.248
169.7649446	424.753
181.0203701	419.089
192.7893125	413.426
204.9651561	407.763
217.4412855	402.099
230.1110852	396.436
242.8679398	390.772
255.6052338	387.941
268.2163517	387.941
280.594678	387.3748
292.6335972	387.0917
304.2264939	387.941
315.2667527	390.772
325.6477579	396.436
