%%LOLT2	CRKT2
67.677	85.517
67.111	84.101
66.545	83.252
65.978	82.402
65.695	81.553
65.129	80.986
64.846	79.853
64.562	79.004
64.279	78.438
63.996	78.154
63.713	77.022
63.43	76.172
63.147	75.606
62.863	75.323
62.863	74.473
62.58	73.624
62.297	73.057
62.014	72.774
62.014	71.925
61.731	71.642
61.731	71.358
61.164	71.075
60.881	70.792
60.881	70.226
60.598	70.509
60.598	70.226
60.315	69.659
60.315	69.376
60.032	69.659
59.749	69.376
59.749	69.376
59.465	68.81
59.465	68.244
59.182	68.244
58.899	67.96
58.899	67.677
58.899	67.96
58.899	67.394
58.899	67.677
58.899	67.677
58.899	67.677
58.899	67.394
59.465	67.394
59.749	67.96
60.032	68.244
60.315	68.81
60.881	69.093
60.881	69.659
61.731	69.943
62.297	70.226
63.147	70.509
64.279	70.792
65.129	71.16983333
66.545	71.642
68.244	72.208
69.659	72.491
71.075	73.057
73.341	73.624
75.04	74.473
77.022	75.04
78.438	75.323
80.42	76.172
81.836	76.739
83.535	77.871
85.234	78.154
86.65	79.287
88.349	79.853
90.331	80.986
92.313	81.269
94.295	82.402
96.56	82.968
98.543	84.101
101.091	84.951
103.64	85.517
106.188	86.083
108.737	86.366
111.285	87.499
113.834	87.782
116.665	88.632
118.648	90.048
121.196	90.614
123.461	90.897
125.16	92.313
127.143	92.879
128.842	94.012
130.257	95.711
131.39	97.127
132.24	98.259
133.372	99.675
133.939	100.242
134.222	100.525
134.505	103.356
134.505	103.923
134.222	106.755
134.505	107.321
133.939	109.303
133.372	111.852
132.806	111.852
132.24	114.117
131.673	114.966
130.824	116.382
129.974	117.515
129.125	118.648
128.275	119.497
127.426	120.063
126.859	121.479
125.444	121.762
124.311	122.329
124.028	122.329
122.895	122.612
122.046	122.895
120.913	122.329
120.347	123.461
119.497	122.612
118.648	122.612
117.798	121.479
116.949	122.329
116.099	121.196
115.25	120.913
114.4	120.913
113.551	119.78
112.418	120.63
111.568	118.648
110.436	118.648
109.303	118.364
108.17	118.081
107.038	116.665
105.905	116.665
104.489	116.382
103.073	115.25
101.657	114.966
100.525	114.117
98.826	114.117
97.693	112.701
96.56	112.701
95.145	112.984
93.729	111.852
92.313	109.869
90.897	108.454
89.764	109.303
88.632	107.321
87.216	107.887
85.8	105.905
84.384	105.905
83.252	105.055
82.119	103.923
80.986	103.073
79.853	102.79
78.438	100.242
77.588	101.091
76.455	99.675
75.606	98.826
74.473	97.976
73.624	97.127
72.774	96.56
72.208	97.127
71.075	95.428
70.792	94.861
69.943	94.012
69.376	93.446
69.093	92.596
68.244	91.747
67.96	90.614
67.394	90.331
66.828	89.481
66.545	88.915
66.261	88.065
65.695	87.216
65.412	86.65
64.846	86.366
64.562	85.8
64.279	85.234
63.713	84.101
63.713	84.101
63.147	83.252
63.147	82.402
62.863	82.402
62.58	81.269
62.297	81.269
62.014	80.137
61.731	80.42
61.731	79.57
61.448	78.721
61.164	78.438
60.881	77.871
60.881	77.871
60.598	77.305
60.315	76.739
60.315	76.172
60.032	75.606
59.749	75.606
59.749	75.04
59.465	74.19
59.182	73.624
59.182	73.341
58.899	72.491
58.616	71.642
58.616	71.925
58.05	71.358
58.05	71.075
58.05	70.226
57.766	70.509
57.483	69.659
57.483	69.376
57.2	69.376
57.2	69.093
56.634	67.96
56.634	68.244
56.351	68.81
56.067	67.96
56.067	67.677
55.784	67.394
55.784	67.394
55.501	67.394
55.501	66.828
54.935	66.261
54.935	65.978
54.652	65.978
54.652	65.695
54.652	65.129
54.368	65.412
54.085	65.129
54.085	65.695
53.802	65.129
53.519	64.562
53.519	64.562
53.236	64.562
52.952	64.562
52.952	64.562
52.669	64.279
52.669	64.279
52.669	64.279
52.669	63.996
52.386	63.43
52.386	63.43
52.103	63.996
52.103	63.43
52.103	63.43
51.82	63.43
51.82	63.147
51.82	62.58
51.537	62.863
51.537	62.58
51.537	62.014
51.537	61.731
51.253	61.731
51.253	62.014
51.253	61.731
50.97	61.731
50.97	61.731
50.97	61.448
50.97	61.164
50.97	61.164
50.687	61.164
50.687	61.164
50.687	61.164
50.687	60.881
50.404	60.598
50.404	60.881
50.404	60.598
50.121	60.881
50.121	60.881
50.121	60.315
50.121	60.598
50.121	60.598
49.838	60.598
49.838	60.598
49.838	60.032
49.838	60.315
50.121	60.032
49.838	60.032
49.838	60.032
49.838	60.032
49.838	60.032
49.838	60.032
49.838	59.749
49.838	59.749
49.838	60.032
49.838	60.032
49.838	60.032
50.121	59.749
50.121	59.465
50.121	59.749
50.121	60.032
50.121	59.465
50.121	60.032
50.121	59.749
50.121	59.749
50.404	59.465
50.404	59.749
50.404	59.465
50.404	59.465
50.404	59.465
50.404	59.465
50.404	60.315
50.404	60.032
50.404	60.032
50.404	60.315
50.404	60.032
50.404	60.032
50.404	60.032
50.121	60.315
50.121	60.315
50.121	60.032
50.121	60.315
50.121	60.032
49.838	60.032
49.554	60.032
49.554	60.598
49.554	60.315
49.271	60.032
48.988	60.032
48.988	60.032
48.705	59.749
48.705	59.749
48.705	59.749
48.422	59.749
48.139	59.465
48.139	59.749
47.855	59.465
47.572	59.465
47.572	59.182
47.572	59.465
47.289	59.182
47.006	59.465
47.006	58.899
46.723	59.182
46.723	59.182
46.723	59.182
46.44	59.182
46.44	59.465
46.44	58.616
46.44	59.182
46.44	58.899
46.156	58.616
46.156	58.616
46.156	58.333
46.156	58.05
46.156	58.05
46.156	57.766
46.156	57.766
46.156	57.766
46.156	57.766
46.156	57.483
46.156	56.917
46.156	56.917
46.156	56.917
46.156	57.483
46.156	56.351
46.156	56.917
46.44	56.917
46.44	56.634
46.44	56.634
46.44	56.634
46.44	56.634
46.44	56.917
46.44	56.634
46.44	56.634
46.44	56.917
46.44	56.351
46.44	56.634
46.44	56.634
46.44	56.634
46.156	56.634
46.156	56.634
46.156	56.351
46.156	56.917
46.156	56.917
46.156	56.634
46.156	56.634
46.156	56.917
46.44	56.917
46.44	56.917
46.44	56.634
46.44	56.917
46.723	56.917
46.723	56.917
46.723	56.634
47.006	56.634
47.289	56.634
47.572	56.351
47.572	56.634
47.855	56.634
48.139	56.634
48.422	56.634
48.422	56.634
48.705	56.634
48.988	56.634
48.988	56.917
49.271	56.917
49.554	56.634
49.838	57.483
50.121	57.766
50.121	56.917
50.121	56.634
50.404	56.917
50.687	56.917
50.97	57.483
50.97	57.766
50.97	57.766
50.97	57.766
51.253	58.05
51.253	58.05
51.253	58.05
51.537	58.333
51.537	58.333
51.537	58.616
51.537	58.333
51.253	59.182
51.537	59.182
51.253	58.899
51.253	59.182
51.253	59.465
50.97	59.182
50.97	59.465
50.97	59.749
50.97	59.749
50.97	59.749
50.97	59.749
50.687	59.749
50.97	59.749
50.687	60.032
50.404	60.032
50.404	60.032
50.404	60.032
50.121	60.032
50.121	60.032
50.121	59.749
49.838	60.032
49.554	60.315
49.554	60.032
49.554	60.315
49.271	60.032
48.988	60.881
48.988	59.749
48.705	59.749
48.705	60.315
48.705	60.315
48.422	60.315
48.422	60.598
48.139	60.315
48.139	60.315
47.855	60.315
47.855	60.598
47.855	60.315
47.855	60.032
47.572	60.315
47.572	60.032
47.289	59.749
47.572	59.749
47.289	59.465
47.289	59.465
47.289	59.465
47.289	59.182
47.289	59.465
47.289	59.465
47.289	59.465
47.289	59.465
47.289	59.465
47.289	59.182
47.289	59.182
47.289	59.182
47.289	59.182
47.289	59.182
47.006	59.465
47.006	59.182
47.006	59.182
47.006	58.899
46.723	59.465
46.723	59.465
46.723	59.182
46.723	59.465
46.723	58.899
46.723	58.333
46.44	58.333
46.44	58.616
46.44	58.616
46.156	58.899
46.156	58.616
46.156	58.05
46.156	58.333
46.156	58.333
45.873	58.333
45.873	58.333
45.873	58.333
45.873	58.05
45.59	58.616
45.59	58.05
45.59	58.333
45.59	58.333
45.59	57.766
45.307	57.766
45.307	57.766
45.307	57.766
45.307	56.917
45.024	58.05
45.024	57.766
45.024	57.766
45.024	57.483
45.024	56.917
44.741	57.483
44.741	56.634
44.741	56.917
44.741	56.634
44.741	56.917
44.741	56.917
44.457	56.634
44.457	56.634
44.457	56.634
44.457	56.067
44.457	56.351
44.457	56.917
44.174	56.917
44.174	56.634
44.174	56.634
43.891	56.917
44.174	56.634
43.891	56.634
43.891	56.634
43.891	56.351
43.891	56.634
43.891	56.634
43.891	56.351
43.891	56.634
43.891	56.634
43.891	56.634
43.891	56.067
43.891	56.351
